,JPM
2008-12-19,1333060.0
2008-12-22,1333530.0
2008-12-23,1334190.0
2008-12-24,1334880.0
2008-12-26,1334930.0
2008-12-29,1334940.0
2008-12-30,1336090.0
2008-12-31,1336580.0
2009-01-02,1336770.0
2009-01-05,1338770.0
2009-01-06,1339370.0
2009-01-07,1341070.0
2009-01-08,1341890.0
2009-01-09,1343080.0
2009-01-12,1344080.0
2009-01-13,1345440.0
2009-01-14,1345850.0
2009-01-15,1347340.0
2009-01-16,1348790.0
2009-01-20,1353270.0
2009-01-21,1357570.0
2009-01-22,1358020.0
2009-01-23,1359140.0
2009-01-26,1359350.0
2009-01-27,1359880.0
2009-01-28,1362350.0
2009-01-29,1364470.0
2009-01-30,1364550.0
2009-02-02,1364850.0
2009-02-03,1365940.0
2009-02-04,1365950.0
2009-02-05,1366430.0
2009-02-06,1369360.0
2009-02-09,1369690.0
2009-02-10,1372220.0
2009-02-11,1373620.0
2009-02-12,1373710.0
2009-02-13,1375130.0
2009-02-17,1378020.0
2009-02-18,1378150.0
2009-02-19,1379010.0
2009-02-20,1379670.0
2009-02-23,1380040.0
2009-02-24,1381470.0
2009-02-25,1382140.0
2009-02-26,1383390.0
2009-02-27,1383580.0
2009-03-02,1385180.0
2009-03-03,1385320.0
2009-03-04,1386940.0
2009-03-05,1389500.0
2009-03-06,1390140.0
2009-03-09,1390170.0
2009-03-10,1393590.0
2009-03-11,1394440.0
2009-03-12,1397100.0
2009-03-13,1397620.0
2009-03-16,1398250.0
2009-03-17,1400200.0
2009-03-18,1402060.0
2009-03-19,1404100.0
2009-03-20,1405810.0
2009-03-23,1411220.0
2009-03-24,1413550.0
2009-03-25,1415600.0
2009-03-26,1416110.0
2009-03-27,1417720.0
2009-03-30,1420140.0
2009-03-31,1421780.0
2009-04-01,1423260.0
2009-04-02,1423330.0
2009-04-03,1424390.0
2009-04-06,1425410.0
2009-04-07,1426320.0
2009-04-08,1426490.0
2009-04-09,1431550.0
2009-04-13,1432450.0
2009-04-14,1435300.0
2009-04-15,1437070.0
2009-04-16,1437710.0
2009-04-17,1437730.0
2009-04-20,1441120.0
2009-04-21,1443820.0
2009-04-22,1444420.0
2009-04-23,1445670.0
2009-04-24,1445830.0
2009-04-27,1446400.0
2009-04-28,1446410.0
2009-04-29,1448010.0
2009-04-30,1449410.0
2009-05-01,1449900.0
2009-05-04,1453040.0
2009-05-05,1453960.0
2009-05-06,1456240.0
2009-05-07,1458130.0
2009-05-08,1461650.0
2009-05-11,1464600.0
2009-05-12,1465050.0
2009-05-13,1466300.0
2009-05-14,1467720.0
2009-05-15,1468320.0
2009-05-18,1470550.0
2009-05-19,1471920.0
2009-05-20,1473120.0
2009-05-21,1473450.0
2009-05-22,1473910.0
2009-05-26,1475930.0
2009-05-27,1477720.0
2009-05-28,1479610.0
2009-05-29,1479850.0
2009-06-01,1480600.0
2009-06-02,1482130.0
2009-06-03,1482620.0
2009-06-04,1483920.0
2009-06-05,1484680.0
2009-06-08,1485480.0
2009-06-09,1485610.0
2009-06-10,1486010.0
2009-06-11,1486110.0
2009-06-12,1486290.0
2009-06-15,1487360.0
2009-06-16,1487840.0
2009-06-17,1488570.0
2009-06-18,1489940.0
2009-06-19,1490730.0
2009-06-22,1492760.0
2009-06-23,1493430.0
2009-06-24,1493540.0
2009-06-25,1494190.0
2009-06-26,1494480.0
2009-06-29,1494630.0
2009-06-30,1495100.0
2009-07-01,1495380.0
2009-07-02,1496800.0
2009-07-06,1497110.0
2009-07-07,1497310.0
2009-07-08,1497400.0
2009-07-09,1498260.0
2009-07-10,1499480.0
2009-07-13,1501740.0
2009-07-14,1501750.0
2009-07-15,1503230.0
2009-07-16,1503350.0
